"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002532","BP","GO:0002532","production of molecular mediator involved in inflammatory response","1/1","84/23355",0.00359666024405902,0.00968603687879909,NA,"F2",1
"GO:0030168","BP","GO:0030168","platelet activation","1/1","85/23355",0.00363947762791694,0.00968603687879909,NA,"F2",1
"GO:0048708","BP","GO:0048708","astrocyte differentiation","1/1","86/23355",0.00368229501177486,0.00968603687879909,NA,"F2",1
"GO:1904427","BP","GO:1904427","positive regulation of calcium ion transmembrane transport","1/1","86/23355",0.00368229501177486,0.00968603687879909,NA,"F2",1
"GO:0051702","BP","GO:0051702","biological process involved in interaction with symbiont","1/1","91/23355",0.00389638193106412,0.00974009847998339,NA,"F2",1
"GO:1903035","BP","GO:1903035","negative regulation of response to wounding","1/1","91/23355",0.00389638193106412,0.00974009847998339,NA,"F2",1
"GO:0045685","BP","GO:0045685","regulation of glial cell differentiation","1/1","94/23355",0.00402483408263776,0.00974009847998339,NA,"F2",1
"GO:1900182","BP","GO:1900182","positive regulation of protein localization to nucleus","1/1","94/23355",0.00402483408263776,0.00974009847998339,NA,"F2",1
"GO:0007200","BP","GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway","1/1","99/23355",0.00423892100192669,0.00983493535663628,NA,"F2",1
"GO:0014066","BP","GO:0014066","regulation of phosphatidylinositol 3-kinase signaling","1/1","103/23355",0.00441019053735814,0.00983493535663628,NA,"F2",1
"GO:0010522","BP","GO:0010522","regulation of calcium ion transport into cytosol","1/1","107/23355",0.00458146007278981,0.00983493535663628,NA,"F2",1
"GO:0002444","BP","GO:0002444","myeloid leukocyte mediated immunity","1/1","109/23355",0.00466709484050531,0.00983493535663628,NA,"F2",1
"GO:0032963","BP","GO:0032963","collagen metabolic process","1/1","111/23355",0.00475272960822093,0.00983493535663628,NA,"F2",1
"GO:0051209","BP","GO:0051209","release of sequestered calcium ion into cytosol","1/1","111/23355",0.00475272960822093,0.00983493535663628,NA,"F2",1
"GO:2000379","BP","GO:2000379","positive regulation of reactive oxygen species metabolic process","1/1","111/23355",0.00475272960822093,0.00983493535663628,NA,"F2",1
"GO:0002526","BP","GO:0002526","acute inflammatory response","1/1","112/23355",0.00479554699207885,0.00983493535663628,NA,"F2",1
"GO:0051283","BP","GO:0051283","negative regulation of sequestering of calcium ion","1/1","112/23355",0.00479554699207885,0.00983493535663628,NA,"F2",1
"GO:0051282","BP","GO:0051282","regulation of sequestering of calcium ion","1/1","114/23355",0.00488118175979457,0.00984371654891905,NA,"F2",1
"GO:0051208","BP","GO:0051208","sequestering of calcium ion","1/1","116/23355",0.00496681652750997,0.00985220983325747,NA,"F2",1
"GO:0050829","BP","GO:0050829","defense response to Gram-negative bacterium","1/1","122/23355",0.00522372083065736,0.0101263112823812,NA,"F2",1
"GO:0014013","BP","GO:0014013","regulation of gliogenesis","1/1","125/23355",0.00535217298223079,0.0101263112823812,NA,"F2",1
"GO:0008277","BP","GO:0008277","regulation of G protein-coupled receptor signaling pathway","1/1","127/23355",0.00543780774994651,0.0101263112823812,NA,"F2",1
"GO:0061041","BP","GO:0061041","regulation of wound healing","1/1","129/23355",0.00552344251766246,0.0101263112823812,NA,"F2",1
"GO:0061844","BP","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","1/1","129/23355",0.00552344251766246,0.0101263112823812,NA,"F2",1
"GO:0014065","BP","GO:0014065","phosphatidylinositol 3-kinase signaling","1/1","135/23355",0.00578034682080941,0.0104391338107155,NA,"F2",1
"GO:0051928","BP","GO:0051928","positive regulation of calcium ion transport","1/1","139/23355",0.00595161635624086,0.0105098327063645,NA,"F2",1
"GO:0097553","BP","GO:0097553","calcium ion transmembrane import into cytosol","1/1","140/23355",0.00599443374009856,0.0105098327063645,NA,"F2",1
"GO:1900180","BP","GO:1900180","regulation of protein localization to nucleus","1/1","142/23355",0.00608006850781417,0.0105098327063645,NA,"F2",1
"GO:0001909","BP","GO:0001909","leukocyte mediated cytotoxicity","1/1","145/23355",0.00620852065938793,0.0105446623093684,NA,"F2",1
"GO:0008360","BP","GO:0008360","regulation of cell shape","1/1","154/23355",0.0065938771141083,0.0105446623093684,NA,"F2",1
"GO:0050768","BP","GO:0050768","negative regulation of neurogenesis","1/1","160/23355",0.00685078141725548,0.0105446623093684,NA,"F2",1
"GO:0060402","BP","GO:0060402","calcium ion transport into cytosol","1/1","161/23355",0.00689359880111318,0.0105446623093684,NA,"F2",1
"GO:0051961","BP","GO:0051961","negative regulation of nervous system development","1/1","164/23355",0.00702205095268693,0.0105446623093684,NA,"F2",1
"GO:0019730","BP","GO:0019730","antimicrobial humoral response","1/1","166/23355",0.00710768572040243,0.0105446623093684,NA,"F2",1
"GO:0007596","BP","GO:0007596","blood coagulation","1/1","168/23355",0.00719332048811827,0.0105446623093684,NA,"F2",1
"GO:0045834","BP","GO:0045834","positive regulation of lipid metabolic process","1/1","168/23355",0.00719332048811827,0.0105446623093684,NA,"F2",1
"GO:1904064","BP","GO:1904064","positive regulation of cation transmembrane transport","1/1","168/23355",0.00719332048811827,0.0105446623093684,NA,"F2",1
"GO:0007599","BP","GO:0007599","hemostasis","1/1","170/23355",0.007278955255834,0.0105446623093684,NA,"F2",1
"GO:0048015","BP","GO:0048015","phosphatidylinositol-mediated signaling","1/1","170/23355",0.007278955255834,0.0105446623093684,NA,"F2",1
"GO:1903034","BP","GO:1903034","regulation of response to wounding","1/1","170/23355",0.007278955255834,0.0105446623093684,NA,"F2",1
"GO:0050817","BP","GO:0050817","coagulation","1/1","171/23355",0.0073217726396918,0.0105446623093684,NA,"F2",1
"GO:1903169","BP","GO:1903169","regulation of calcium ion transmembrane transport","1/1","171/23355",0.0073217726396918,0.0105446623093684,NA,"F2",1
"GO:0048017","BP","GO:0048017","inositol lipid-mediated signaling","1/1","173/23355",0.00740740740740753,0.0105446623093684,NA,"F2",1
"GO:0060401","BP","GO:0060401","cytosolic calcium ion transport","1/1","183/23355",0.00783558124598593,0.0110244805902825,NA,"F2",1
"GO:0030307","BP","GO:0030307","positive regulation of cell growth","1/1","197/23355",0.00843502461999557,0.0117314710232122,NA,"F2",1
"GO:0010721","BP","GO:0010721","negative regulation of cell development","1/1","203/23355",0.00869192892314297,0.0119160779276388,NA,"F2",1
"GO:0001906","BP","GO:0001906","cell killing","1/1","205/23355",0.00877756369085847,0.0119160779276388,NA,"F2",1
"GO:2000377","BP","GO:2000377","regulation of reactive oxygen species metabolic process","1/1","207/23355",0.00886319845857431,0.0119160779276388,NA,"F2",1
"GO:0051651","BP","GO:0051651","maintenance of location in cell","1/1","216/23355",0.00924855491329502,0.0122975290605351,NA,"F2",1
"GO:0034764","BP","GO:0034764","positive regulation of transmembrane transport","1/1","247/23355",0.010575893812888,0.0137600338855855,NA,"F2",1
"GO:0034767","BP","GO:0034767","positive regulation of ion transmembrane transport","1/1","247/23355",0.010575893812888,0.0137600338855855,NA,"F2",1
"GO:0010001","BP","GO:0010001","glial cell differentiation","1/1","255/23355",0.0109184328837508,0.0140545784992963,NA,"F2",1
"GO:0001818","BP","GO:0001818","negative regulation of cytokine production","1/1","270/23355",0.0115606936416186,0.0146792264325985,NA,"F2",1
"GO:1903829","BP","GO:1903829","positive regulation of cellular protein localization","1/1","272/23355",0.0116463284093343,0.0146792264325985,NA,"F2",1
"GO:0051924","BP","GO:0051924","regulation of calcium ion transport","1/1","280/23355",0.011988867480197,0.0149551852072561,NA,"F2",1
"GO:0070588","BP","GO:0070588","calcium ion transmembrane transport","1/1","289/23355",0.0123742239349175,0.0152287161921073,NA,"F2",1
"GO:0010959","BP","GO:0010959","regulation of metal ion transport","1/1","291/23355",0.0124598587026332,0.0152287161921073,NA,"F2",1
"GO:0034504","BP","GO:0034504","protein localization to nucleus","1/1","301/23355",0.0128880325412116,0.0154401181929367,NA,"F2",1
"GO:0072593","BP","GO:0072593","reactive oxygen species metabolic process","1/1","301/23355",0.0128880325412116,0.0154401181929367,NA,"F2",1
"GO:0045927","BP","GO:0045927","positive regulation of growth","1/1","312/23355",0.0133590237636481,0.0158474693666805,NA,"F2",1
"GO:0051235","BP","GO:0051235","maintenance of location","1/1","324/23355",0.0138728323699422,0.0162972108423593,NA,"F2",1
"GO:0022604","BP","GO:0022604","regulation of cell morphogenesis","1/1","328/23355",0.0140441019053736,0.0163397724091366,NA,"F2",1
"GO:0007204","BP","GO:0007204","positive regulation of cytosolic calcium ion concentration","1/1","333/23355",0.014258188824663,0.0164308652169926,NA,"F2",1
"GO:0045861","BP","GO:0045861","negative regulation of proteolysis","1/1","342/23355",0.0146435452793834,0.0166079428247868,NA,"F2",1
"GO:0042063","BP","GO:0042063","gliogenesis","1/1","343/23355",0.0146863626632412,0.0166079428247868,NA,"F2",1
"GO:0042060","BP","GO:0042060","wound healing","1/1","357/23355",0.0152858060372512,0.0169556840077072,NA,"F2",1
"GO:0019216","BP","GO:0019216","regulation of lipid metabolic process","1/1","359/23355",0.0153714408049667,0.0169556840077072,NA,"F2",1
"GO:0050878","BP","GO:0050878","regulation of body fluid levels","1/1","360/23355",0.0154142581888247,0.0169556840077072,NA,"F2",1
"GO:1904062","BP","GO:1904062","regulation of cation transmembrane transport","1/1","370/23355",0.0158424320274033,0.0172696781559982,NA,"F2",1
"GO:0051480","BP","GO:0051480","regulation of cytosolic calcium ion concentration","1/1","377/23355",0.0161421537144082,0.0174225071662283,NA,"F2",1
"GO:0032102","BP","GO:0032102","negative regulation of response to external stimulus","1/1","380/23355",0.0162706058659818,0.0174225071662283,NA,"F2",1
"GO:0044403","BP","GO:0044403","biological process involved in symbiotic interaction","1/1","390/23355",0.01669877970456,0.0177241433706295,NA,"F2",1
"GO:0006959","BP","GO:0006959","humoral immune response","1/1","407/23355",0.0174266752301434,0.0183358930682378,NA,"F2",1
"GO:0006816","BP","GO:0006816","calcium ion transport","1/1","423/23355",0.0181117533718689,0.0188924323965184,NA,"F2",1
"GO:0001558","BP","GO:0001558","regulation of cell growth","1/1","439/23355",0.0187968315135945,0.0194394582320079,NA,"F2",1
"GO:0050767","BP","GO:0050767","regulation of neurogenesis","1/1","443/23355",0.0189681010490259,0.0194503409062045,NA,"F2",1
"GO:0042742","BP","GO:0042742","defense response to bacterium","1/1","466/23355",0.0199529008777565,0.0202882437496515,NA,"F2",1
"GO:0006874","BP","GO:0006874","cellular calcium ion homeostasis","1/1","480/23355",0.0205523442517663,0.0207236137871977,NA,"F2",1
"GO:0055074","BP","GO:0055074","calcium ion homeostasis","1/1","496/23355",0.0212374223934918,0.0212374223934918,NA,"F2",1
"GO:0062023","CC","GO:0062023","collagen-containing extracellular matrix","1/1","386/23177",0.0166544419036113,0.0166544419036113,NA,"F2",1
"GO:0001530","MF","GO:0001530","lipopolysaccharide binding","1/1","30/22682",0.00132263468829918,0.0119037121946927,NA,"F2",1
"GO:0008201","MF","GO:0008201","heparin binding","1/1","159/22682",0.00700996384798513,0.014350586368045,NA,"F2",1
"GO:0004252","MF","GO:0004252","serine-type endopeptidase activity","1/1","186/22682",0.00820033506745443,0.014350586368045,NA,"F2",1
"GO:0008236","MF","GO:0008236","serine-type peptidase activity","1/1","207/22682",0.00912617934926352,0.014350586368045,NA,"F2",1
"GO:0017171","MF","GO:0017171","serine hydrolase activity","1/1","212/22682",0.00934661846398022,0.014350586368045,NA,"F2",1
"GO:0005539","MF","GO:0005539","glycosaminoglycan binding","1/1","217/22682",0.00956705757869669,0.014350586368045,NA,"F2",1
"GO:1901681","MF","GO:1901681","sulfur compound binding","1/1","265/22682",0.0116832730799751,0.0150213511028251,NA,"F2",1
"GO:0004175","MF","GO:0004175","endopeptidase activity","1/1","453/22682",0.019971783793316,0.0207212767833523,NA,"F2",1
"GO:0008047","MF","GO:0008047","enzyme activator activity","1/1","470/22682",0.0207212767833523,0.0207212767833523,NA,"F2",1
